Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
Boohoo,Fast Fashion,Extremely Poor Customer Service and NO help for vulnerable people,"**Extremely Poor Customer Service – Still Unable to Return £400+ Worth of Items**

I am extremely disappointed with the level of customer service I've received from Boohoo regarding a return worth over £400.

I followed the return process and selected multiple items to return. Boohoo originally sent my order in several separate parcels, yet I was only provided with one return code. When I attempted to arrange the return, I was later informed that I would need separate return codes for separate parcels. However, there appears to be no way to cancel or amend the original return request, leaving me completely stuck.

Despite contacting customer service multiple times, nobody has been able to resolve what should be a straightforward issue. The AI chat was unhelpful, and several customer service agents either failed to understand the problem or simply repeated that a return had already been created, despite me explaining multiple times that the issue was the inability to obtain the correct return labels. One response completely ignored the actual concern, and follow-up messages went unanswered.

My biggest concern is that while I continue trying to get help, I could end up outside the returns timeframe through no fault of my own. I have the items packed and ready to send back, but I cannot do so because Boohoo has not provided a workable solution.

As a long-standing customer, I expected far better support, particularly when trying to return such a significant order value. The lack of communication, ownership and urgency shown throughout this process has been incredibly frustrating.

I would strongly urge Boohoo to improve its returns process and ensure customer service agents are empowered to resolve issues rather than sending customers in circles.

I am heavily pregnant and about to be due on maternity leave so would be considered vulnerable under Consumer Duty and the Financial Ombudsman, something that boohoo doesn’t seem to be experienced in as I’ve been fobbed off at every communication possible. Feel so so let down and will not be shopping with them again unfortunately.",1,2026-05-31 20:30:05+00:00,Trustpilot,extremely poor customer service still unable return worth item extremely disappointed level customer service ive received boohoo regarding return worth followed return process selected multiple item return boohoo originally sent order several separate parcel yet provided one return code attempted arrange return later informed would need separate return code separate parcel however appears way cancel amend original return request leaving completely stuck despite contacting customer service multiple time nobody able resolve straightforward issue ai chat unhelpful several customer service agent either failed understand problem simply repeated return already created despite explaining multiple time issue inability obtain correct return label one response completely ignored actual concern followup message went unanswered biggest concern continue trying get help could end outside return timeframe fault item packed ready send back boohoo provided workable solution longstanding customer expected far better support particularly trying return significant order value lack communication ownership urgency shown throughout process incredibly frustrating would strongly urge boohoo improve return process ensure customer service agent empowered resolve issue rather sending customer circle heavily pregnant due maternity leave would considered vulnerable consumer duty financial ombudsman something boohoo doesnt seem experienced ive fobbed every communication possible feel let shopping unfortunately
Oh Polly,Fast Fashion,most beautiful dresses,"Hello Flor,

We are so glad you appreciate our website and the variety of options available! It's wonderful to hear that our shipping and product quality meet your expectations. Thank you for consistently recommending us!

We look forward to serving you again in the future. Take care and enjoy the rest of your day!

Thanks,
Oh Polly Customer Care Team",5,2026-05-31 19:23:44+00:00,Trustpilot,hello flor glad appreciate website variety option available wonderful hear shipping product quality meet expectation thank consistently recommending u look forward serving future take care enjoy rest day thanks oh polly customer care team
Boohoo,Fast Fashion,Absolutely useless service,"Absolutely useless service

Placed an order - UK1128677257

Paid for next day delivery and it didnt arrive, spoke to BOOHOO who offered no assistance and clearly had no interest at all.
I am now trying to arrange a return but their system states my order number does not exist.

You honestly could not make it up.

I will be raising a claim with my Bank in the morning.",1,2026-05-31 18:58:51+00:00,Trustpilot,absolutely useless service placed order uk paid next day delivery didnt arrive spoke boohoo offered assistance clearly interest trying arrange return system state order number exist honestly could make raising claim bank morning
ASOS,Fast Fashion,Awful experience,"Awful experience, each agent trying to get rid of you or pass you on to someone else by saying come back another day. Spoke with janap, did not do anything to help. Record of the conversation is there. Managers waste your time and give you the same information. Don’t get no where, really frustrating",1,2026-05-31 17:56:11+00:00,Trustpilot,awful experience agent trying get rid pas someone else saying come back another day spoke janap anything help record conversation manager waste time give information dont get really frustrating
ASOS,Fast Fashion,"Any defense on why I should continue to be a customer?"".","I don't know why this company is still in business with off-shooting their ""customer service"" to AI chatbox and Indian correspondents. No answers, accountability, or professionalism here.

My package wasn't even shipped. They lied multiple times throughout the process and I have had to take the initiative at every turn.

I have sat on the chatbox for over an hour asking for explanations about why my order wasn't fulfilled and shipped. They lied and said they shipped it and said it was coming. Royal Mail provided proof that said otherwise.
I asked for a simply promo code, they offered 10% which was frankly offensive. Then after having me wait an additional 25 mins, they took away the promo code entirely and had no more details to give.

They are hold over +£85 quid for a month (refund processing) with no information.
Shout to Neel , Mazhar, Zaraah for provided no customer service.

No answer to: ""Any defense on why I should continue to be a customer?"". They ended the chat providing no customer service.",1,2026-05-31 16:44:09+00:00,Trustpilot,dont know company still business offshooting customer service ai chatbox indian correspondent answer accountability professionalism package wasnt even shipped lied multiple time throughout process take initiative every turn sat chatbox hour asking explanation order wasnt fulfilled shipped lied said shipped said coming royal mail provided proof said otherwise asked simply promo code offered frankly offensive wait additional min took away promo code entirely detail give hold quid month refund processing information shout neel mazhar zaraah provided customer service answer defense continue customer ended chat providing customer service
Boohoo,Fast Fashion,Kai was very quick to answer my…,Kai was very quick to answer my questions and gave me clarity in a friendly and professional way,5,2026-05-31 16:30:43+00:00,Trustpilot,kai quick answer question gave clarity friendly professional way
ASOS,Fast Fashion,Cheap Chinese shit,Cheap Chinese shit. Terrible quality looks 110% fake. Material is really thin cheap nasty horrible.!! Do not order anything from Asos it looks 10/10 on the pictures makes you think its coming from the UK and its not. Another Chinese company scamming and conning people.,1,2026-05-31 15:54:52+00:00,Trustpilot,cheap chinese shit terrible quality look fake material really thin cheap nasty horrible order anything asos look picture make think coming uk another chinese company scamming conning people
Boohoo,Fast Fashion,DO NOT BUY from his company!!!,"DO NOT BUY from his company!!!! They have sent me the wrong size on the last 2 dresses I’ve purchased and they charge me shipping and processing fees when I return them. It’s their mistake and they still punish me. I was told I could just return the dress, provide proof of purchase, and they would send out my correct size that I ordered. I did all of this and they did not honor their word. They reimbursed me the cost of the dress minus the shipping and processing fees. I was told I didn’t need to worry about these fees from one customer service agent and then I never got to talk to this person again. It’s been email after email after email with all different agents, I think they use chat bots to automatically respond and I can’t talk to a real person. They take forever to get back to you. I’ve been dealing with this for over a month now because they are not timely with responding. If I could give them a negative 100 stars I would. They will rip you off, do not shop on this website and give them your hard earned money. HORRIBLE CUSTOMER SERVICE, and THEY ARE THIEVES THAT STEAL FROM YOU!!",1,2026-05-31 15:31:52+00:00,Trustpilot,buy company sent wrong size last dress ive purchased charge shipping processing fee return mistake still punish told could return dress provide proof purchase would send correct size ordered honor word reimbursed cost dress minus shipping processing fee told didnt need worry fee one customer service agent never got talk person email email email different agent think use chat bot automatically respond cant talk real person take forever get back ive dealing month timely responding could give negative star would rip shop website give hard earned money horrible customer service thief steal
Passenger,Ethical Fashion,Great buying experience in the sale,"Hello,

Thank you so much for the review! We're thrilled to hear you had a great experience grabbing a bargain in our sale and that you're loving the quality of your new gear. Thanks for recommending us!

Thanks again, 
Heidi - Passenger Team",5,2026-05-31 13:15:18+00:00,Trustpilot,hello thank much review thrilled hear great experience grabbing bargain sale youre loving quality new gear thanks recommending u thanks heidi passenger team
Oh Polly,Fast Fashion,Customer service,"Hello Ulrich,

We are so happy to hear about your positive experience with our service! Thank you for sharing your kind words.

We look forward to serving you again in the future. Take care and enjoy the rest of your day!

Thanks,
Oh Polly Customer Care Team",5,2026-05-31 12:34:10+00:00,Trustpilot,hello ulrich happy hear positive experience service thank sharing kind word look forward serving future take care enjoy rest day thanks oh polly customer care team
Passenger,Ethical Fashion,Obsessed,"Hello Katie, thank you so much for your support and for your lovely review!

Best wishes,
Amber
Passenger Team",5,2026-05-31 12:10:39+00:00,Trustpilot,hello katie thank much support lovely review best wish amber passenger team
Passenger,Ethical Fashion,Excellent service and outstanding products,"Hello,

Thank you so much for the 5-star review! ""Style and function"" is exactly what we aim for with all of our gear, so we're absolutely thrilled to hear that your new clothes are keeping you looking great and staying comfortable in the great outdoors.

Happy adventures,
The Passenger Team",5,2026-05-31 11:12:11+00:00,Trustpilot,hello thank much star review style function exactly aim gear absolutely thrilled hear new clothes keeping looking great staying comfortable great outdoors happy adventure passenger team
Passenger,Ethical Fashion,TShirt,"Hello Hilary,

Thank you so much for the 5-star review! We're thrilled to hear you're loving the design and loose fit of your new T-shirt, and that it arrived nice and fast. Enjoy it!

Thanks again, 
Heidi - Passenger Team",5,2026-05-31 11:11:40+00:00,Trustpilot,hello hilary thank much star review thrilled hear youre loving design loose fit new tshirt arrived nice fast enjoy thanks heidi passenger team
